phaseshift in deg, plane, beam
0, 1200000.0, 1714390.04694572
10, 89.8039921954767, 1714343.11024214
20, 23.1503125147703, 1714207.97574362
30, 10.8323997075252, 1714000.97899885
40, 6.55437431905477, 1713747.12816501
50, 4.61486501655445, 1713477.06832329
60, 3.6108216324324, 1713223.37264105
70, 3.06687350076824, 1713016.61360233
80, 2.79231672325961, 1712881.68813904
90, 2.70811826151847, 1712834.83398993
100, 2.79231672325961, 1712881.68813904
110, 3.06687350076824, 1713016.61360233
120, 3.6108216324324, 1713223.37264105
130, 4.61486501655445, 1713477.06832329
140, 6.55437431905476, 1713747.12816501
150, 10.8323997075252, 1714000.97899885
160, 23.1503125147703, 1714207.97574362
170, 89.8039921954768, 1714343.11024215
180, 1200000.0, 1714390.04694572
190, 89.8039921954766, 1714343.11024214
200, 23.1503125147703, 1714207.97574362
210, 10.8323997075252, 1714000.97899885
220, 6.55437431905477, 1713747.12816501
230, 4.61486501655445, 1713477.06832329
240, 3.6108216324324, 1713223.37264105
250, 3.06687350076824, 1713016.61360233
260, 2.79231672325961, 1712881.68813904
270, 2.70811826151847, 1712834.83398993
280, 2.79231672325961, 1712881.68813904
290, 3.06687350076824, 1713016.61360233
300, 3.6108216324324, 1713223.37264105
310, 4.61486501655445, 1713477.06832329
320, 6.55437431905476, 1713747.12816501
330, 10.8323997075252, 1714000.97899885
340, 23.1503125147703, 1714207.97574362
350, 89.8039921954766, 1714343.11024215
360, 1200000.0, 1714390.04694572
